,corr_coef,p_value,num_steps,sample_size
0,0.41388847091856973,0.11100387324709743,2,5
1,0.49050548008140704,0.05372686256040603,3,5
2,0.43543159799897835,0.09183810148408389,4,5
3,0.5134027085098114,0.04195203195915866,5,5
4,0.4369191510841156,0.09060829226414988,6,5
5,0.40686608196385565,0.11781486797369234,7,5
6,0.45247333560034725,0.07844527107072512,8,5
7,0.5057235579206389,0.04566070256049199,9,5
8,0.5025124824515058,0.047282044286571616,10,5
9,0.4717398123041032,0.06507054189941339,11,5
10,0.45922236281659956,0.0735527257899107,12,5
11,0.46265730619357803,0.07114948155880374,13,5
12,0.4686553898642344,0.06709063733158077,14,5
13,0.4713698916717512,0.06531043746474731,15,5
14,0.4720341747627013,0.06488010731208523,16,5
15,0.47263553214577114,0.064492333725359,17,5
16,0.4733794210981453,0.06401500210376705,18,5
17,0.4739572278418612,0.06364602986147501,19,5
18,0.47438195758116913,0.06337580393462369,20,5
19,0.6033459728907569,0.013345397743561808,2,10
20,0.6545715799777028,0.005933516812361167,3,10
21,0.6594273883580619,0.005453474853063237,4,10
22,0.6924842152471458,0.0029476880202318916,5,10
23,0.7145838060185186,0.0018676529638922267,6,10
24,0.7544950241989313,0.000731498751177083,7,10
25,0.7497515554419033,0.0008248863041556068,8,10
26,0.7246291992241554,0.0014971029580747085,9,10
27,0.7109470695859441,0.002018879904883949,10,10
28,0.7103328630510157,0.002045374317498549,11,10
29,0.7084448437224765,0.0021285880210975836,12,10
30,0.7047591822810249,0.002298945013373986,13,10
31,0.703024803703707,0.002382845402442683,14,10
32,0.7035548990778964,0.0023569432288172635,15,10
33,0.704995130392559,0.0022877184299997123,16,10
34,0.7060375404490189,0.002238650164327138,17,10
35,0.7062291796549016,0.0022297228782282167,18,10
36,0.705912121220724,0.002244508339159708,19,10
37,0.7055768801318235,0.002260228046608332,20,10
38,0.9233775575371448,3.3892656327776927e-07,2,50
39,0.9336111450890754,1.2772943659161046e-07,3,50
40,0.9420332978225399,5.055011163463821e-08,4,50
41,0.9691095480039181,6.632399270408303e-10,5,50
42,0.9658903074786526,1.3162150529808166e-09,6,50
43,0.9655173123302504,1.4189229505950866e-09,7,50
44,0.9609572736744401,3.3439169760228858e-09,8,50
45,0.9582928928935273,5.270568317322068e-09,9,50
46,0.9561810267473984,7.405812048437624e-09,10,50
47,0.954962344682307,8.944439661582758e-09,11,50
48,0.9535223848295873,1.1105989223893572e-08,12,50
49,0.9530820864514702,1.1849763575201174e-08,13,50
50,0.9528514333837202,1.225604354960445e-08,14,50
51,0.9527204235720687,1.2492047721829537e-08,15,50
52,0.9526627264225351,1.259720597118755e-08,16,50
53,0.9526343484634483,1.264920336619173e-08,17,50
54,0.9526281265359389,1.2660628307079385e-08,18,50
55,0.952632023036379,1.2653472376021664e-08,19,50
56,0.9526411438539849,1.2636735444790215e-08,20,50
57,0.932350514321061,1.4521095439046129e-07,2,100
58,0.9451525868895999,3.461014944772068e-08,3,100
59,0.9430878608992838,4.457967897932372e-08,4,100
60,0.9665038356323983,1.1610658382517805e-09,5,100
61,0.9680590787206887,8.358339561157586e-10,6,100
62,0.9689713778650961,6.840356761923327e-10,7,100
63,0.9651754928204562,1.5189753307267964e-09,8,100
64,0.9644191800162812,1.7619474145880296e-09,9,100
65,0.9627089236303004,2.436334954137079e-09,10,100
66,0.9621154996904161,2.7167308323830306e-09,11,100
67,0.9616524563782309,2.954217225560912e-09,12,100
68,0.9613165452919887,3.1373818261153657e-09,13,100
69,0.961097905699935,3.261732051181923e-09,14,100
70,0.9608786300279932,3.3906411399361593e-09,15,100
71,0.960758761052758,3.4629289364666906e-09,16,100
72,0.9607282472447177,3.4815389200787783e-09,17,100
73,0.9607118329758747,3.491585002759116e-09,18,100
74,0.9607162530532942,3.488877338357253e-09,19,100
75,0.9607292793107639,3.480908085552517e-09,20,100
76,0.9453510393817524,3.376098460027585e-08,2,500
77,0.9499029210016565,1.859213796490989e-08,3,500
78,0.9603688951330709,3.7072020024037744e-09,4,500
79,0.9714527727171767,3.841952501986421e-10,5,500
80,0.9754094211856011,1.366296996133849e-10,6,500
81,0.9814998054932895,1.8940952101314773e-11,7,500
82,0.9817451246095142,1.7262417124179533e-11,8,500
83,0.9823187561119946,1.382604339567177e-11,9,500
84,0.9821053748226992,1.5028700923875756e-11,10,500
85,0.9821100416220989,1.500147178678128e-11,11,500
86,0.9811180167514516,2.183043824494731e-11,12,500
87,0.9800327342542121,3.218936366389701e-11,13,500
88,0.9792376541913674,4.221854374409093e-11,14,500
89,0.9785427359366623,5.3062745895655344e-11,15,500
90,0.9779666388826548,6.377816295515256e-11,16,500
91,0.9775665095352614,7.226440407188724e-11,17,500
92,0.9773282280152691,7.776256686982377e-11,18,500
93,0.9771391572881261,8.237595148189459e-11,19,500
94,0.9770261716698708,8.524293422486536e-11,20,500
95,0.9401775320223767,6.271268548814802e-08,2,1000
96,0.9461286116048179,3.0602375085735095e-08,3,1000
97,0.953836431946508,1.0600120168458408e-08,4,1000
98,0.9647735268730451,1.6442778935739326e-09,5,1000
99,0.9752582909319498,1.4256000654830485e-10,6,1000
100,0.9819161972796788,1.6168669524442998e-11,7,1000
101,0.9837233121188005,7.77468324322817e-12,8,1000
102,0.982712742321494,1.1820702499586635e-11,9,1000
103,0.9828844400639878,1.1027966396177066e-11,10,1000
104,0.9829826658002954,1.0595247402508898e-11,11,1000
105,0.98231902984503,1.3824555130128202e-11,12,1000
106,0.98140450225775,1.9629666998874788e-11,13,1000
107,0.9805847056733313,2.6492585280471458e-11,14,1000
108,0.9799885026520083,3.268800916190183e-11,15,1000
109,0.9793736306401762,4.033519479854045e-11,16,1000
110,0.9788192625682193,4.849252612809996e-11,17,1000
111,0.9784266020578616,5.508909393161709e-11,18,1000
112,0.9781032957414211,6.10822729017105e-11,19,1000
113,0.9779100365546068,6.492420098842431e-11,20,1000
