,corr_coef,p_value,num_steps,sample_size
0,0.9338094459061738,9.628531345547067e-17,2,5
1,0.961461955306783,1.2108126255201657e-20,3,5
2,0.9408855531440804,1.4883698541835798e-17,4,5
3,0.9208796742345201,1.8074543526427947e-15,5,5
4,0.9111527222089896,1.2021343742419755e-14,6,5
5,0.9026070978058554,5.3543133348559e-14,7,5
6,0.8946710174322408,1.9044646452774718e-13,8,5
7,0.8893006633349969,4.250163421278618e-13,9,5
8,0.8855362779806669,7.282584119777867e-13,10,5
9,0.8819621168585754,1.1937775135041696e-12,11,5
10,0.8788914459494312,1.8025409564624086e-12,12,5
11,0.8765057761013393,2.4639070569636907e-12,13,5
12,0.8745487126690976,3.16889260508592e-12,14,5
13,0.8729382099250104,3.885828438209915e-12,15,5
14,0.8710800124206457,4.900105200828982e-12,16,5
15,0.869989719771195,5.605109562799622e-12,17,5
16,0.868744320455876,6.525753202799724e-12,18,5
17,0.867578292371534,7.513855874668306e-12,19,5
18,0.8665855293116836,8.463363145516345e-12,20,5
19,0.9593789319145856,2.915857367494568e-20,2,10
20,0.9589359962397228,3.494257155661835e-20,3,10
21,0.9455421745532491,3.824935624394326e-18,4,10
22,0.9380892314581512,3.195305824723014e-17,5,10
23,0.9332077619141693,1.1177240805816862e-16,6,10
24,0.9296594330339598,2.621073850605015e-16,7,10
25,0.9270598991417287,4.759860879779372e-16,8,10
26,0.9251506435612791,7.275845838146677e-16,9,10
27,0.9235415611128752,1.0314614297130348e-15,10,10
28,0.9222566592099755,1.3555882551242155e-15,11,10
29,0.9211372892842589,1.7134266159035527e-15,12,10
30,0.9202077602840926,2.0759411807024713e-15,13,10
31,0.9194338878099506,2.4313120053189157e-15,14,10
32,0.918810260654247,2.758327825016263e-15,15,10
33,0.9182010597156287,3.1171810031290055e-15,16,10
34,0.9177442262072214,3.4144744056384835e-15,17,10
35,0.9172954329826218,3.7322207440925816e-15,18,10
36,0.9168811315148409,4.049930206325589e-15,19,10
37,0.9165268444489718,4.341526133559751e-15,20,10
38,0.9660029716279089,1.4879774440552831e-21,2,25
39,0.9765160419513392,2.9933730640431522e-24,3,25
40,0.9753046688323556,6.97401491835924e-24,4,25
41,0.9746533484246039,1.080236702272351e-23,5,25
42,0.9739462401789956,1.7152139782616563e-23,6,25
43,0.9733231455810304,2.5511783189450063e-23,7,25
44,0.9729473073961132,3.2268770731654845e-23,8,25
45,0.9726811743839517,3.803420284233265e-23,9,25
46,0.9724679397992297,4.333806559591589e-23,10,25
47,0.9722910387733918,4.825783500564103e-23,11,25
48,0.9721062012463939,5.395600063732252e-23,12,25
49,0.9719855686651501,5.800953561245739e-23,13,25
50,0.9718632137200909,6.241203413440611e-23,14,25
51,0.9717757228349599,6.575053410615167e-23,15,25
52,0.9716835662955934,6.944809810504789e-23,16,25
53,0.971602108045418,7.287824576336772e-23,17,25
54,0.9715319634686936,7.595891700436767e-23,18,25
55,0.9714730329436697,7.864123889243275e-23,19,25
56,0.9714148622916603,8.137606486584515e-23,20,25
57,0.9169077600521176,4.028771634985089e-15,2,50
58,0.9381702564494433,3.1269227319716605e-17,3,50
59,0.9384566417436397,2.896058502172148e-17,4,50
60,0.9373209808750924,3.917156445354436e-17,5,50
61,0.9367193923749637,4.5863065160558583e-17,6,50
62,0.9360160527094966,5.5041959956592986e-17,7,50
63,0.9355505072080714,6.203617137899911e-17,8,50
64,0.9351924811123165,6.797280892307072e-17,9,50
65,0.9349704397200305,7.191788788223428e-17,10,50
66,0.9347742863332866,7.558058778057604e-17,11,50
67,0.934536069885676,8.026384469144691e-17,12,50
