,nr_steps,sample_size,mean,std,se,nr_features
0,2,5,0.3875,0.08149003006503311,0.036443449342783124,3
1,2,10,0.5,0.2209708691207961,0.09882117688026185,3
2,2,50,0.675,0.1202211503854459,0.05376453291901641,3
3,2,100,0.7875,0.12183492931011206,0.054486236794258416,3
4,2,500,0.925,0.11180339887498948,0.049999999999999996,3
5,2,1000,0.95,0.052291251658379716,0.02338535866733713,3
6,3,5,0.3875,0.05229125165837973,0.023385358667337135,4
7,3,10,0.4625,0.14388580541526672,0.06434768838116875,4
8,3,50,0.6875,0.08838834764831845,0.03952847075210474,4
9,3,100,0.8125,0.0625,0.02795084971874737,4
10,3,500,0.9375,0.08838834764831845,0.03952847075210474,4
11,3,1000,0.95,0.05229125165837971,0.02338535866733713,4
12,4,5,0.4375,0.09882117688026186,0.04419417382415922,5
13,4,10,0.4375,0.15934435979977452,0.07126096406869611,5
14,4,50,0.7375,0.1202211503854459,0.05376453291901641,5
15,4,100,0.925,0.05229125165837973,0.023385358667337135,5
16,4,500,0.925,0.08149003006503311,0.036443449342783124,5
17,4,1000,0.9375,0.07654655446197431,0.03423265984407288,5
18,5,5,0.4,0.11353688827865593,0.050775240028974745,6
19,5,10,0.4625,0.18006075363609916,0.08052561704203202,6
20,5,50,0.75,0.09882117688026186,0.04419417382415922,6
21,5,100,0.8875,0.05229125165837973,0.023385358667337135,6
22,5,500,0.9625,0.03423265984407289,0.015309310892394864,6
23,5,1000,1.0,0.0,0.0,6
24,6,5,0.375,0.13258252147247765,0.059292706128157104,7
25,6,10,0.4,0.14388580541526672,0.06434768838116875,7
26,6,50,0.725,0.12183492931011206,0.054486236794258416,7
27,6,100,0.925,0.06846531968814575,0.030618621784789718,7
28,6,500,0.925,0.08149003006503311,0.036443449342783124,7
29,6,1000,0.9875,0.027950849718747377,0.012500000000000002,7
30,7,5,0.3625,0.14252192813739226,0.06373774391990981,8
31,7,10,0.425,0.14252192813739226,0.06373774391990981,8
32,7,50,0.725,0.12183492931011204,0.054486236794258416,8
33,7,100,0.8875,0.027950849718747367,0.012499999999999997,8
34,7,500,0.9625,0.03423265984407289,0.015309310892394864,8
35,7,1000,1.0,0.0,0.0,8
36,8,5,0.3625,0.14252192813739226,0.06373774391990981,9
37,8,10,0.45,0.14921670482891652,0.0667317390751957,9
38,8,50,0.75,0.08838834764831845,0.03952847075210474,9
39,8,100,0.9125,0.03423265984407289,0.015309310892394864,9
40,8,500,0.95,0.05229125165837974,0.02338535866733714,9
41,8,1000,0.975,0.03423265984407287,0.015309310892394859,9
42,9,5,0.4125,0.10458250331675945,0.046770717334674264,10
43,9,10,0.4125,0.1505199322349037,0.0673145600891813,10
44,9,50,0.775,0.08385254915624211,0.0375,10
45,9,100,0.85,0.0712609640686961,0.03186887195995489,10
46,9,500,0.9625,0.055901699437494734,0.024999999999999994,10
47,9,1000,1.0,0.0,0.0,10
48,10,5,0.4,0.16298006013006622,0.07288689868556625,11
49,10,10,0.4125,0.12183492931011206,0.054486236794258416,11
50,10,50,0.75,0.13258252147247765,0.059292706128157104,11
51,10,100,0.9125,0.03423265984407287,0.015309310892394859,11
52,10,500,0.975,0.03423265984407289,0.015309310892394864,11
53,10,1000,0.975,0.03423265984407289,0.015309310892394864,11
54,11,5,0.3875,0.12022115038544591,0.053764532919016415,12
55,11,10,0.4125,0.12183492931011206,0.054486236794258416,12
56,11,50,0.75,0.09882117688026186,0.04419417382415922,12
57,11,100,0.85,0.055901699437494755,0.025000000000000005,12
58,11,500,0.925,0.08149003006503311,0.036443449342783124,12
59,11,1000,0.9875,0.027950849718747377,0.012500000000000002,12
60,12,5,0.375,0.14657549249448218,0.06555055301063448,13
61,12,10,0.4125,0.12183492931011206,0.054486236794258416,13
62,12,50,0.7625,0.11180339887498948,0.049999999999999996,13
63,12,100,0.8875,0.08149003006503311,0.036443449342783124,13
64,12,500,0.9375,0.07654655446197432,0.03423265984407289,13
65,12,1000,1.0,0.0,0.0,13
66,13,5,0.375,0.14657549249448218,0.06555055301063448,14
67,13,10,0.4,0.12960275845829825,0.05796011559684814,14
68,13,50,0.775,0.11353688827865593,0.050775240028974745,14
69,13,100,0.875,0.07654655446197431,0.03423265984407288,14
70,13,500,0.95,0.05229125165837974,0.02338535866733714,14
71,13,1000,1.0,0.0,0.0,14
72,14,5,0.375,0.14657549249448218,0.06555055301063448,15
73,14,10,0.425,0.1354967711792425,0.06059599821770411,15
74,14,50,0.7625,0.11180339887498948,0.049999999999999996,15
75,14,100,0.875,0.08838834764831845,0.03952847075210474,15
76,14,500,0.9375,0.0625,0.02795084971874737,15
77,14,1000,1.0,0.0,0.0,15
78,15,5,0.3625,0.13549677117924253,0.060595998217704124,16
79,15,10,0.425,0.1354967711792425,0.06059599821770411,16
80,15,50,0.7625,0.11180339887498948,0.049999999999999996,16
81,15,100,0.9,0.09478594305064439,0.042389562394532926,16
82,15,500,0.925,0.08149003006503311,0.036443449342783124,16
83,15,1000,1.0,0.0,0.0,16
84,16,5,0.35,0.12960275845829825,0.05796011559684814,17
85,16,10,0.425,0.1354967711792425,0.06059599821770411,17
86,16,50,0.7625,0.11180339887498948,0.049999999999999996,17
87,16,100,0.9125,0.09478594305064438,0.04238956239453292,17
88,16,500,0.9375,0.07654655446197432,0.03423265984407289,17
89,16,1000,0.9875,0.027950849718747367,0.012499999999999997,17
90,17,5,0.35,0.12960275845829825,0.05796011559684814,18
91,17,10,0.4375,0.15309310892394862,0.06846531968814576,18
92,17,50,0.7625,0.11180339887498948,0.049999999999999996,18
93,17,100,0.9,0.09478594305064438,0.04238956239453292,18
94,17,500,0.95,0.05229125165837974,0.02338535866733714,18
95,17,1000,1.0,0.0,0.0,18
96,18,5,0.35,0.12960275845829825,0.05796011559684814,19
97,18,10,0.4375,0.15309310892394862,0.06846531968814576,19
98,18,50,0.7625,0.11180339887498948,0.049999999999999996,19
99,18,100,0.9,0.09478594305064438,0.04238956239453292,19
100,18,500,0.9375,0.0625,0.02795084971874737,19
101,18,1000,1.0,0.0,0.0,19
102,19,5,0.35,0.12960275845829825,0.05796011559684814,20
103,19,10,0.425,0.1617772388193098,0.0723489806424389,20
104,19,50,0.775,0.10458250331675945,0.046770717334674264,20
105,19,100,0.9,0.09478594305064438,0.04238956239453292,20
106,19,500,0.9375,0.0625,0.02795084971874737,20
107,19,1000,1.0,0.0,0.0,20
