,corr_coef,p_value,num_steps,sample_size
0,-0.4550715045104289,0.07653477566202462,2,5
1,0.7902904952091423,0.00026914207048029894,3,5
2,0.7768177044860154,0.0004003760157815032,4,5
3,0.8484134636000125,3.271015408513632e-05,5,5
4,0.8876297372328981,4.4855526031073834e-06,6,5
5,0.8615118349403625,1.8021766981111955e-05,7,5
6,0.8619613222157487,1.7638297583550873e-05,8,5
7,0.8616746308683572,1.7882081190251346e-05,9,5
8,0.8715784570228426,1.092689314324223e-05,10,5
9,0.8744935158439011,9.379843818540948e-06,11,5
10,0.8650527900670217,1.5181900699179087e-05,12,5
11,0.8647025162214206,1.544488587316051e-05,13,5
12,0.8667375881005642,1.3968891252095685e-05,14,5
13,0.8734152035819372,9.929074062415429e-06,15,5
14,0.8751034600443922,9.0806577485584e-06,16,5
15,0.8703012151231786,1.166937416441488e-05,17,5
16,0.868717531314529,1.2648486646666778e-05,18,5
17,0.869143375784585,1.2378662503976994e-05,19,5
18,0.8684931458018901,1.2792639534083174e-05,20,5
19,0.3773125120574733,0.1496634048448829,2,10
20,0.7149616004703769,0.0018524860425448897,3,10
21,0.730099479428386,0.0013220353510983954,4,10
22,0.7525310174676128,0.0007690513269550104,5,10
23,0.763627281867763,0.0005760819473050495,6,10
24,0.748960328152235,0.0008413745282917944,7,10
25,0.7641813007831924,0.0005676065373992754,8,10
26,0.7780596690207777,0.00038641739584674846,9,10
27,0.7778975637090497,0.0003882161874767782,10,10
28,0.7865781701037873,0.0003010966080529863,11,10
29,0.7853232803097507,0.0003125827431843823,12,10
30,0.7851356609452605,0.00031433076057032095,13,10
31,0.7933152393654108,0.00024522995387583007,14,10
32,0.7961660584041131,0.00022433072458258514,15,10
33,0.7962778854833374,0.00022354203403239409,16,10
34,0.8008054792896309,0.00019348397209961653,17,10
35,0.8016599233726915,0.0001882063891247403,18,10
36,0.8017335803831588,0.00018775708680573161,19,10
37,0.8044952837912454,0.00017154139310322281,20,10
38,0.8825463316422884,6.029034670211736e-06,2,25
39,0.8751181760006201,9.073539806776201e-06,3,25
40,0.9108399528782412,9.462833680364635e-07,4,25
41,0.9109878427653585,9.357273130484762e-07,5,25
42,0.9177240648861233,5.49371670292159e-07,6,25
43,0.9187924263263245,5.027955657516649e-07,7,25
44,0.9171457852238738,5.760721644659509e-07,8,25
45,0.9153853275883387,6.642288305871495e-07,9,25
46,0.9163107942110189,6.165609167918298e-07,10,25
47,0.9154391382570033,6.613742463322468e-07,11,25
48,0.9145141486724324,7.119171410806475e-07,12,25
49,0.9146366976978164,7.05038571551933e-07,13,25
50,0.9147288214677253,6.999048843510412e-07,14,25
51,0.9147787169547147,6.971376526801547e-07,15,25
52,0.9135069549097686,7.706352332058899e-07,16,25
53,0.9122898850150909,8.470140921958534e-07,17,25
54,0.9145757532633093,7.084522588585393e-07,18,25
55,0.913293443363404,7.835955595952266e-07,19,25
56,0.9123589786431104,8.42512826494994e-07,20,25
57,0.9747828603546386,1.6267210898054767e-10,2,50
58,0.983222382967327,9.599696415486897e-12,3,50
59,0.9951786774115065,1.6032412627250756e-15,4,50
60,0.9930498188117552,2.0624133968005072e-14,5,50
61,0.9950429485930851,1.946455450024935e-15,6,50
62,0.9942348965578625,5.589938722458437e-15,7,50
63,0.9940458777618976,7.002700428195097e-15,8,50
64,0.9935552758412766,1.2173373921782064e-14,9,50
65,0.9935771513981241,1.1887743454488825e-14,10,50
66,0.9931445026019163,1.874061633640895e-14,11,50
67,0.9929246227951453,2.3361831692361336e-14,12,50
68,0.9928006724126484,2.637312172535771e-14,13,50
69,0.9924910633401685,3.538450036731698e-14,14,50
70,0.9925074366011623,3.4849430767159316e-14,15,50
71,0.9922087971327231,4.577968347109368e-14,16,50
72,0.9921099540250979,4.999020221806261e-14,17,50
73,0.9919821465104577,5.592278582906129e-14,18,50
74,0.9918345722183569,6.351346285151171e-14,19,50
75,0.9917571055885059,6.783951710304026e-14,20,50
76,0.9888721603389315,5.501724362376085e-13,2,100
77,0.9917329803123673,6.923724823001016e-14,3,100
78,0.9955890844908649,8.610045879089977e-16,4,100
79,0.9965974784115503,1.4030137342843577e-16,5,100
80,0.9960371120212883,4.0728506925353303e-16,6,100
81,0.9962670910082018,2.681700785169535e-16,7,100
82,0.9961186670675463,3.52188620285003e-16,8,100
83,0.9961889828137378,3.099386062459681e-16,9,100
84,0.9960312200895017,4.11536442716328e-16,10,100
85,0.9960316360621511,4.1123505195052106e-16,11,100
86,0.9959803304853052,4.498663588594213e-16,12,100
87,0.9959608946913577,4.652915032883227e-16,13,100
88,0.9959331790642174,4.880705391457826e-16,14,100
89,0.9958817756579693,5.328543930705926e-16,15,100
90,0.9958654896100153,5.477577836943724e-16,16,100
91,0.9958396218115138,5.72163409623597e-16,17,100
92,0.9958129622060835,5.982850191321556e-16,18,100
93,0.9958065399374325,6.047281788338908e-16,19,100
94,0.9957794105669372,6.326061324385225e-16,20,100
95,0.993705832866653,1.0320972033777682e-14,2,500
96,0.9959808931084436,4.494264419995774e-16,3,500
97,0.9947401028508434,2.9456104441164636e-15,4,500
98,0.9928642112334305,2.479045713725992e-14,5,500
99,0.9909978352112296,1.2545405410758672e-13,6,500
100,0.9904201700473625,1.9359742077012286e-13,7,500
101,0.9899287116701133,2.744275280616072e-13,8,500
102,0.9891933958694283,4.485546372672673e-13,9,500
103,0.988781306938805,5.822568846498325e-13,10,500
104,0.9885182585864345,6.843398716080468e-13,11,500
105,0.9881535891016613,8.509565109285697e-13,12,500
106,0.9879059580132725,9.829161066711607e-13,13,500
107,0.9877237772321341,1.0908392557268032e-12,14,500
108,0.9875078151064531,1.2317677320688684e-12,15,500
109,0.9873414896354471,1.3506649493050342e-12,16,500
110,0.9872126910533251,1.4493588814531249e-12,17,500
111,0.9870697667214375,1.566038975543109e-12,18,500
112,0.9869625735721141,1.6587399138782356e-12,19,500
113,0.9868509737353053,1.7602017569925442e-12,20,500
114,0.9956535321292577,7.768429163364417e-16,2,1000
115,0.9982241299331347,1.4865871067707297e-18,3,1000
116,0.9964279824142861,1.9708669819301928e-16,4,1000
117,0.9949981406782364,2.0727629386382336e-15,5,1000
118,0.9942023261584625,5.81428824477608e-15,6,1000
119,0.9936814167808208,1.0603830276749466e-14,7,1000
120,0.9929927593575549,2.1835685391318534e-14,8,1000
121,0.9927134444237102,2.868627979709166e-14,9,1000
122,0.9923692914520197,3.9589388813962505e-14,10,1000
123,0.9920761021251265,5.150643944005229e-14,11,1000
124,0.9918801670344342,6.107943555530253e-14,12,1000
125,0.9916835071047172,7.218084336882929e-14,13,1000
126,0.9915043084008602,8.375805681746798e-14,14,1000
127,0.9913813311339157,9.259256320878101e-14,15,1000
128,0.9912515327387156,1.0277087272034167e-13,16,1000
129,0.9911444480217727,1.1187503660909347e-13,17,1000
130,0.9910411399759779,1.2130390869651443e-13,18,1000
131,0.9909559458124206,1.2958363287465155e-13,19,1000
132,0.9908711038294113,1.383053107914095e-13,20,1000
