,corr_coef,p_value,num_steps,sample_size
0,0.7123311517202784,9.549174633025887e-17,2,5
1,0.571813032809678,5.165572987617698e-10,3,5
2,0.7421108881380065,1.0097334103209836e-18,4,5
3,0.649637257212042,2.631478974156179e-13,5,5
4,0.658425155853091,9.707662111060202e-14,6,5
5,0.648564273180395,2.9655917146322756e-13,7,5
6,0.6516638685478666,2.0969318559984258e-13,8,5
7,0.6471599581306675,3.4653027810344024e-13,9,5
8,0.6465811871436433,3.6941264089711516e-13,10,5
9,0.6456559949524894,4.09054335697003e-13,11,5
10,0.6447787669065794,4.504179944921148e-13,12,5
11,0.6441294416087382,4.836094596483757e-13,13,5
12,0.6435706356046764,5.140555634303236e-13,14,5
13,0.6431036443567949,5.409124103106955e-13,15,5
14,0.6426883453409735,5.659313816353535e-13,16,5
15,0.6423328931046841,5.882298341446064e-13,17,5
16,0.6420183553154504,6.08667636457177e-13,18,5
17,0.6417395829568517,6.273536299594252e-13,19,5
18,0.6414907619677894,6.444991539688637e-13,20,5
19,0.8263128715713077,3.563504786167452e-26,2,10
20,0.6500567427741282,2.511011119326347e-13,3,10
21,0.5362686210138001,8.904546133842413e-09,4,10
22,0.631751210566353,1.816885210743836e-12,5,10
23,0.6282405097144133,2.6164710191178874e-12,6,10
24,0.5950386889668551,6.639415269783002e-11,7,10
25,0.6054153125350632,2.5154000642831377e-11,8,10
26,0.5964938861562497,5.806610028390857e-11,9,10
27,0.5960925739357837,6.025652075923347e-11,10,10
28,0.5933094572210558,7.77895022592904e-11,11,10
29,0.5920107652634439,8.756229678618376e-11,12,10
30,0.5906047277097719,9.947284282732294e-11,13,10
31,0.5894840158292532,1.1006822305779211e-10,14,10
32,0.5885113458778927,1.201369735076022e-10,15,10
33,0.5876666086654336,1.2959531297725057e-10,16,10
34,0.5869260794548897,1.384726329733448e-10,17,10
35,0.5862714093094183,1.4680540861345195e-10,18,10
36,0.5856884709252919,1.5462937022749511e-10,19,10
37,0.5851660724170085,1.619802679570972e-10,20,10
38,0.7975097056406278,3.116943775028771e-23,2,50
39,0.7234336682983942,1.8769371084281457e-17,3,50
40,0.7542115901859361,1.3243974674071364e-19,4,50
