num_steps,max_t,f1,std,cost,gamma,alpha
1,50,0.37474138405074053,0.013618762283093737,1.7782794100389228,10.0,0
1,100,0.2956457623270084,0.016255691143208646,10.0,10.0,0
1,150,0.19511608289514187,0.01347063108746119,1.7782794100389228,1.7782794100389228,0
1,200,0.1598321110649757,0.017889255999662276,1.7782794100389228,10.0,0
1,250,0.16374703379580957,0.005281555666020043,10.0,1.7782794100389228,0
1,500,0.1415213989560999,0.012949789194217534,1.7782794100389228,10.0,0
2,50,0.7675430921101838,0.026136971695270475,10.0,1.7782794100389228,0
2,100,0.6329661294918296,0.019949508275073403,10.0,1.7782794100389228,0
2,150,0.5211076988832352,0.018840951203482052,1.7782794100389228,1.7782794100389228,0
2,200,0.47629944085647125,0.028527129317270982,1.7782794100389228,1.7782794100389228,0
2,250,0.43735455181249083,0.037984653356206516,10.0,1.7782794100389228,0
2,500,0.33043958183439814,0.02969110396891521,1.7782794100389228,1.7782794100389228,0
3,50,0.8094148595967207,0.036583536753904966,10.0,1.7782794100389228,0
3,100,0.752653162831221,0.03404067730152769,10.0,0.31622776601683794,0
3,150,0.7233842480873924,0.028969133697898504,10.0,0.31622776601683794,0
3,200,0.6306593848298171,0.02629363082201247,10.0,0.31622776601683794,0
3,250,0.5700449032301482,0.026797442864588066,10.0,0.31622776601683794,0
3,500,0.42891508675751755,0.020514046972879472,1.7782794100389228,1.7782794100389228,0
4,50,0.8094168412389919,0.02328098957262849,10.0,0.31622776601683794,0
4,100,0.8165239230966833,0.02481752719000607,10.0,0.31622776601683794,0
4,150,0.7646623912167683,0.02472942452999212,10.0,0.31622776601683794,0
4,200,0.7522256142676141,0.019819672844934747,10.0,0.31622776601683794,0
4,250,0.6878541812664344,0.0455158427030691,10.0,0.31622776601683794,0
4,500,0.5524888790398672,0.03006486093627706,10.0,0.31622776601683794,0
5,50,0.8163362516471352,0.015219883861216065,10.0,0.31622776601683794,0
5,100,0.8265673333372574,0.02240869715938828,10.0,0.31622776601683794,0
5,150,0.8093764498879754,0.021486385115495114,10.0,0.31622776601683794,0
5,200,0.7394087817642112,0.027055957685550046,1.7782794100389228,0.31622776601683794,0
5,250,0.7322536527547843,0.0415956771936961,10.0,0.05623413251903491,0
5,500,0.5886340511645604,0.018482321213399468,10.0,0.31622776601683794,0
6,50,0.8221131068669804,0.020887595465426553,10.0,0.31622776601683794,0
6,100,0.8319616746505314,0.0193341497349338,10.0,0.31622776601683794,0
6,150,0.8253479200780462,0.01259383222146441,10.0,0.05623413251903491,0
6,200,0.8086997945740384,0.030714343964407382,10.0,0.05623413251903491,0
6,250,0.7368582274911357,0.025757135788464693,10.0,0.05623413251903491,0
6,500,0.6411653631179621,0.02823618558408021,10.0,0.31622776601683794,0
7,50,0.8314326906992235,0.022222489478087422,10.0,0.31622776601683794,0
7,100,0.8355070467329263,0.016135390278903358,10.0,0.31622776601683794,0
7,150,0.8370509977904994,0.02280090977537043,10.0,0.05623413251903491,0
7,200,0.8204415213833001,0.02322781203877695,10.0,0.05623413251903491,0
7,250,0.7851837628749248,0.033489477662300475,10.0,0.05623413251903491,0
7,500,0.6858185424219079,0.0164133391100135,10.0,0.05623413251903491,0
8,50,0.8250519391213903,0.024120140280198307,10.0,0.31622776601683794,0
8,100,0.8357044650842125,0.016077210309578885,10.0,0.31622776601683794,0
8,150,0.8371013526089868,0.020797691989651115,10.0,0.05623413251903491,0
8,200,0.8370646220583327,0.0235262744458184,10.0,0.05623413251903491,0
8,250,0.8055672942715045,0.028938176818706408,10.0,0.05623413251903491,0
8,500,0.7141615415914085,0.017345847676160906,10.0,0.05623413251903491,0
9,50,0.8240449796152086,0.02335215184037141,10.0,0.31622776601683794,0
9,100,0.8312414627751311,0.036953419213335344,10.0,0.05623413251903491,0
9,150,0.8370898544229064,0.024584617855820157,10.0,0.05623413251903491,0
9,200,0.8252517406435897,0.030196167799669636,10.0,0.05623413251903491,0
9,250,0.8163779986489296,0.033809000373497274,10.0,0.05623413251903491,0
9,500,0.7221898946354798,0.008621528063658119,10.0,0.05623413251903491,0
10,50,0.8228675492024035,0.025007235966200293,10.0,0.31622776601683794,0
10,100,0.8332367013897078,0.030546522007015582,10.0,0.05623413251903491,0
10,150,0.8359895415857513,0.024211173520444065,10.0,0.05623413251903491,0
10,200,0.832363334302444,0.023500432585241596,10.0,0.05623413251903491,0
