,corr_coef,p_value,nr_moments,sample_size
55,-0.23394501847284677,0.3831726409440547,19,25
56,-0.237690751095948,0.3753797446863104,20,25
57,0.9368724111102692,9.05683149920748e-08,2,50
58,0.6179507201437401,0.010738217324354545,3,50
59,0.2654146997498406,0.3204617318934357,4,50
60,0.0722241804840516,0.7903866224131294,5,50
61,-0.037743721877515984,0.889626808900259,6,50
62,-0.10178243814248232,0.7076004015496973,7,50
63,-0.13954530986047922,0.6062479267583233,8,50
64,-0.16305193658879832,0.5462675740318508,9,50
65,-0.1783003517052666,0.5088212455939047,10,50
66,-0.1885680011461372,0.48430111356293376,11,50
67,-0.19573026024484655,0.4675413082374485,12,50
68,-0.20083304307655267,0.4557776234465968,13,50
69,-0.20454054804294133,0.44732436135696807,14,50
70,-0.20728069278858316,0.4411280251034918,15,50
71,-0.20933460224543185,0.4365122994155746,16,50
72,-0.21089228055684628,0.43302830297430955,17,50
73,-0.21208525648395876,0.43036971803818486,18,50
74,-0.21300688438197757,0.42832161734392454,19,50
75,-0.21372431008477563,0.4267308014369772,20,50
76,0.9105041836962378,9.706246604850197e-07,2,100
77,0.34670255226835855,0.1883185546675625,3,100
78,-0.031123147622372324,0.9089042875141311,4,100
79,-0.1505900846328332,0.5777398225114242,5,100
80,-0.19344314089046663,0.4728619291966573,6,100
81,-0.21088017161901462,0.4330553313037468,7,100
82,-0.21905906522480434,0.41499800771577483,8,100
83,-0.22342169010901816,0.4055306535732483,9,100
84,-0.2259507381766059,0.400095325203717,10,100
85,-0.22748839405688157,0.39680977457623506,11,100
86,-0.2284478146793884,0.39476710412356636,12,100
87,-0.22905510116390898,0.3934770754403149,13,100
88,-0.2294425666212492,0.3926551880375732,14,100
89,-0.22969095071916112,0.39212880496535774,15,100
90,-0.2298506493421899,0.3917905676802619,16,100
91,-0.22995352866017177,0.39157275540191355,17,100
92,-0.23001989388114538,0.39143228405157104,18,100
93,-0.23006274555397666,0.3913415968760431,19,100
94,-0.23009043447819807,0.39128300471350635,20,100
95,0.8758494422295103,8.725698150192753e-06,2,500
96,0.6203317447740088,0.010354225641246214,3,500
97,0.14822079025544072,0.5838078638943702,4,500
98,-0.1144667111751651,0.6729389702572438,5,500
99,-0.205536237909477,0.4450677250635252,6,500
100,-0.23917085487404036,0.37232458415380704,7,500
101,-0.2536961165348668,0.3430759023121139,8,500
102,-0.2612443312550198,0.3284080920937452,9,500
103,-0.26570473820871426,0.31991327089672267,10,500
104,-0.26856613383097183,0.3145316463473113,11,500
105,-0.2704860838566487,0.31095049132101543,12,500
106,-0.27180913421424957,0.3084966579314971,13,500
107,-0.272736555978966,0.30678338856021686,14,500
108,-0.27339502556195094,0.3055703717898603,15,500
109,-0.2738677848839463,0.304701210500224,16,500
110,-0.2742107096429366,0.30407166096589744,17,500
111,-0.27446193082311593,0.3036109502518549,18,500
112,-0.2746477603508451,0.30327042543122273,19,500
113,-0.2747865215826977,0.3030162983443744,20,500
114,0.8849375384634867,5.255043559702443e-06,2,1000
115,0.7416897181646471,0.0010059247970933035,3,1000
116,0.34480412093042956,0.19091209184681213,4,1000
117,-0.007706110112613726,0.977403612848385,5,1000
118,-0.1570623147313745,0.5612998120815155,6,1000
119,-0.21538423727256217,0.4230618434872118,7,1000
120,-0.24046318371552125,0.3696682501728095,8,1000
121,-0.25291632773075223,0.3446120419501457,9,1000
122,-0.259942808423407,0.33091106946178855,10,1000
123,-0.26428258395116333,0.32260777325982054,11,1000
124,-0.267120708668043,0.3172435135487991,12,1000
125,-0.2690494468691047,0.31362789651977385,13,1000
126,-0.27038956653101487,0.3111299460901783,14,1000
127,-0.271330387689987,0.30938326245863546,15,1000
128,-0.27199854577247684,0.3081462935367423,16,1000
129,-0.2724780786563327,0.307260322119561,17,1000
130,-0.27282559849344434,0.30661919123566916,18,1000
131,-0.2730797735236167,0.3061507686003452,19,1000
132,-0.27326732434281187,0.3058053988258182,20,1000
