,corr_coef,p_value,nr_moments,sample_size
0,0.7795196441413678,1.2606442010293795e-21,1,5
1,0.6911301662425993,1.7406234066048437e-15,2,5
2,0.3898747037823256,6.082195251289649e-05,3,5
3,0.4311302742742107,7.537036769857788e-06,4,5
4,0.1608305772059213,0.10992950426437158,5,5
5,0.2197411704442518,0.028041270145787035,6,5
6,0.07989451000140654,0.4294316301103793,7,5
7,0.1083434494237771,0.2832822647959711,8,5
8,0.04379134869709426,0.6652941539731961,9,5
9,0.05579490459359859,0.5813841548976534,10,5
10,0.024667214579453728,0.8075344902046273,11,5
11,0.028647258515647256,0.7772312762071153,12,5
12,0.011398942863133255,0.9103794448985143,13,5
13,0.01144622139313508,0.9100092852274357,14,5
14,-7.582518535577398e-05,0.999402609014188,15,5
15,-0.0019748619729652445,0.9844419604239004,16,5
16,-0.010962114180284172,0.913800420889284,17,5
17,-0.013801652244290467,0.8915937771698551,18,5
18,-0.021435295816671144,0.8323548835029642,19,5
19,-0.02467098132293265,0.8075056683985223,20,5
20,0.5090316063404234,6.377730473650501e-08,1,10
21,0.8440954468319886,2.82201695613334e-28,2,10
22,0.5529759919586951,2.434626682728247e-09,3,10
23,0.6854464042056957,3.6353298147533065e-15,4,10
24,0.3288086318110595,0.0008373922668374095,5,10
25,0.5509469639196487,2.860782652102455e-09,6,10
26,0.2469874504997729,0.013236921833445922,7,10
27,0.44737573443599926,3.063231168394626e-06,8,10
28,0.20264070461210598,0.04318058849198288,9,10
29,0.36523134068453356,0.00018672306660433356,10,10
30,0.17068838361199784,0.0895250950630274,11,10
31,0.2955464800249238,0.0028330327402924186,12,10
32,0.14504946265943552,0.14989988810885974,13,10
33,0.23663945118965896,0.017768122512443044,14,10
34,0.12419099722627096,0.2182973116725316,15,10
35,0.1891123712475632,0.05951235973533489,16,10
36,0.1074622658739365,0.28723935206735857,17,10
37,0.15255672421035268,0.12970366808433434,18,10
38,0.09428403365560115,0.3507852954097205,19,10
39,0.12533572296440187,0.21405006946569638,20,10
40,0.5621389029178092,1.1592353278451059e-09,1,50
41,0.8371947233161251,1.9765959197466146e-27,2,50
42,0.564464121503778,9.568080375091626e-10,3,50
43,0.7503945880569075,2.54524350833093e-19,4,50
44,0.4388143847027709,4.951692383065448e-06,5,50
45,0.7159364756712423,5.678369437025889e-17,6,50
46,0.4041495179203543,3.0456907707228735e-05,7,50
47,0.682882928537411,5.040080661732771e-15,8,50
48,0.3568962349234004,0.00026750196734132674,9,50
49,0.6165638178699893,8.519878347675405e-12,10,50
50,0.306514455130551,0.0019246152855660291,11,50
51,0.5159582803479609,3.929003031155695e-08,12,50
52,0.2600913259233649,0.008965859580990113,13,50
53,0.40899993557720715,2.3903440922350722e-05,14,50
54,0.21850921604820756,0.028955965891361634,15,50
55,0.31666590695441676,0.0013279281600676585,16,50
56,0.18158117262816897,0.07059956773802235,17,50
57,0.2432448550630074,0.014743763933273953,18,50
58,0.14898395354917454,0.13903922747317873,19,50
59,0.1860482246973153,0.06383829970663746,20,50
