,nr_moments,sample_size,mean,std,se
78,14,5,0.49499999999999994,0.08366600265340757,0.03741657386773942
79,14,10,0.8049999999999999,0.03259601202601321,0.014577379737113236
80,14,50,0.9200000000000002,0.020916500663351857,0.009354143466934839
81,14,100,0.97,0.032596012026013255,0.014577379737113256
82,14,500,1.0,0.0,0.0
83,14,1000,1.0,0.0,0.0
84,15,5,0.49499999999999994,0.08366600265340757,0.03741657386773942
85,15,10,0.8049999999999999,0.03259601202601321,0.014577379737113236
86,15,50,0.9200000000000002,0.020916500663351857,0.009354143466934839
87,15,100,0.975,0.02500000000000001,0.011180339887498952
88,15,500,1.0,0.0,0.0
89,15,1000,1.0,0.0,0.0
90,16,5,0.49499999999999994,0.08366600265340757,0.03741657386773942
91,16,10,0.8,0.03061862178478971,0.013693063937629145
92,16,50,0.9200000000000002,0.020916500663351857,0.009354143466934839
93,16,100,0.975,0.02500000000000001,0.011180339887498952
94,16,500,1.0,0.0,0.0
95,16,1000,1.0,0.0,0.0
96,17,5,0.49499999999999994,0.08366600265340757,0.03741657386773942
97,17,10,0.8,0.02499999999999995,0.011180339887498926
98,17,50,0.9200000000000002,0.020916500663351857,0.009354143466934839
99,17,100,0.975,0.02500000000000001,0.011180339887498952
100,17,500,1.0,0.0,0.0
101,17,1000,1.0,0.0,0.0
102,18,5,0.5,0.082915619758885,0.03708099243547832
103,18,10,0.8,0.02499999999999995,0.011180339887498926
104,18,50,0.9200000000000002,0.020916500663351857,0.009354143466934839
105,18,100,0.975,0.02500000000000001,0.011180339887498952
106,18,500,1.0,0.0,0.0
107,18,1000,1.0,0.0,0.0
108,19,5,0.495,0.0890926484060273,0.03984344362627307
109,19,10,0.8,0.02499999999999995,0.011180339887498926
110,19,50,0.9200000000000002,0.020916500663351857,0.009354143466934839
111,19,100,0.975,0.02500000000000001,0.011180339887498952
112,19,500,1.0,0.0,0.0
113,19,1000,1.0,0.0,0.0
114,20,5,0.49000000000000005,0.09617692030835673,0.04301162633521313
115,20,10,0.8,0.02499999999999995,0.011180339887498926
116,20,50,0.9200000000000002,0.020916500663351857,0.009354143466934839
117,20,100,0.975,0.02500000000000001,0.011180339887498952
118,20,500,1.0,0.0,0.0
119,20,1000,1.0,0.0,0.0
